x,y,Clay,SOC,pH,CEC
14.03181,48.31194,16,17.9,7.71,11.9
14.01425,48.07874,22,18.9,6.87,17.9
14.01894,48.49261,20,37.2,5.34,12.9
14.00876,48.36692,14,11.6,6.45,7.5
13.94404,47.5405,28,44.6,5.79,20.9
13.9098,47.4335,12,56.3,7.08,22.3
13.93676,48.13526,22,14,7.41,19.9
13.92779,48.71204,15,139.5,4.71,13
13.89967,48.35277,13,13.4,5.59,7.1
13.86532,47.9036,34,40,6.04,28.1
13.84104,47.58012,11,41,4.43,9.8
13.76542,46.53735,25,145,3.73,19.2
13.88532,48.5155,21,21.6,6.04,12.7
13.8481,48.03031,21,18.9,7.24,14.6
13.74185,46.57426,9,37.3,7.22,14
13.84996,48.40854,17,25,5.1,7.3
13.83943,48.62505,20,30.8,5.36,7.9
13.80135,48.48233,18,31.6,4.98,6
13.78517,48.26668,24,28.7,5.56,13.3
13.75163,48.17778,23,37.8,7.32,28.4
13.71218,47.6386,55,45.3,6.58,35.3
13.71813,48.08886,16,59.3,4.03,13.4
13.61049,46.56073,19,29.3,5.27,11.2
13.71906,48.46707,0,287.4,3.94,37.9
13.71639,48.43113,22,34.4,4.84,8.9
13.57171,46.7603,9,30.9,7.31,15
13.65041,48.27125,25,23.7,7.41,23.9
13.63132,48.00164,21,17.6,7,15.4
13.60837,48.05646,15,28.9,4.56,7.8
13.60182,47.96656,30,24.7,4.98,15.4
13.50046,46.87078,12,48.7,5.54,11.6
13.48385,46.61897,18,35.6,7.18,20.9
13.54681,48.32863,26,21.4,7.52,19.8
13.5408,48.25693,25,24.5,6.97,22.5
13.51371,47.84292,21,26.1,7.37,20.1
13.53503,48.54512,20,9.4,7.01,8.3
13.53254,48.50919,13,111.9,3.79,15.3
13.51466,48.22157,38,37.6,6.3,38.1
13.49923,48.4202,29,66.1,5.39,20.7
13.3626,46.78484,4,24,6.96,9
13.43053,48.20622,17,15.5,5.72,13.7
13.42314,48.49459,18,17,5.36,8.3
13.39763,48.11714,21,29.8,5.96,16
13.38686,47.95543,21,73.3,7.25,33.7
13.37966,47.84753,28,17.1,5.23,11.8
13.35274,47.43406,17,42.9,6.21,11.1
13.37799,48.22584,19,22,5.13,8.1
13.37203,48.13598,29,31.6,5.56,18.9
13.33551,47.57868,28,51,5.57,18.6
13.36307,48.40642,20,15.5,6.8,11.1
13.34164,48.08287,16,119.1,3.59,17.2
13.33014,48.31737,17,17.4,7.58,13.4
13.31952,48.15559,17,71.2,3.9,14.9
13.30775,47.97585,47,52.9,4.62,27.1
13.29848,47.83202,33,39,5.24,19.8
13.27983,47.95867,18,62,4.63,9.2
13.25811,47.61708,44,44.9,5,21.3
13.272005,48.265125,19,14.6,6.5,15.6
13.2441,47.81569,23,52.6,5,9.7
13.22929,47.58189,15,17.7,7.91,15.6
13.22032,47.43803,10,30.9,7.32,14.4
13.22754,47.97823,19,46,3.71,10.6
13.22256,48.32035,20,19.1,6.95,12
13.20756,48.08684,0,201.1,3.52,18.1
13.15972,47.31371,23,26.7,7.5,19.4
13.1563,47.6921,25,41.8,5.86,29.6
