x,y,Clay,SOC,pH,CEC
15.57942,50.55236,20,11.4,5.7,13
15.40147,48.99273,37,30.5,5.9,16.1
15.55553,50.58958,0,426.8,4.31,26.4
15.50306,50.1415,21,13.6,7.33,14.3
15.44374,49.62165,18,24.5,5.3,7.2
15.50214,50.37587,21,12.2,6.94,14.5
15.46486,50.05327,15,30.6,5.28,13.3
15.44239,49.85603,25,10.6,7.16,16.1
15.46376,50.28759,27,17.3,6.39,18.9
15.37262,49.48085,11,10.9,6.18,7.8
15.45018,50.41439,0,308,4.21,25.9
15.41321,50.09174,11,25.1,7.42,14.3
15.42624,50.45156,18,16.2,5.85,8.8
15.29924,49.32239,18,16.5,6.3,8.5
15.41463,50.59629,20,17,6.25,23.6
15.32344,49.7896,20,20.4,7.13,13.6
15.26089,49.21576,12,15.3,5.55,8.8
15.34566,50.23911,48,29.4,7.53,30.3
15.31065,49.9164,21,13.4,6.46,14.2
15.20497,48.94799,13,28.4,3.92,7.4
15.29571,50.29549,49,37.4,7.84,55.9
15.24616,49.84728,14,24.5,4.96,11.2
15.16735,49.11197,11,23.1,5.93,6.5
15.19517,49.63336,16,17,4.85,8.3
15.24966,50.38773,15,12.8,6.97,11
15.15797,49.54497,12,11.8,6.37,9.7
15.194,50.13799,6,13.5,5.95,5.7
15.11529,49.40272,11,15.7,6.2,10.7
15.22333,50.6592,18,29.9,5.99,8.6
15.14551,49.94195,18,17.3,5.98,11.6
15.1237,49.74475,14,16.8,5.93,10.4
15.05287,49.33342,14,44.8,4.3,8.6
15.06081,49.67549,16,11.6,5.65,10.6
15.0143,49.22707,43,46,6.04,24.9
15.11127,50.412,61,37.1,6.82,35.8
15.0425,49.76641,11,155.2,3.96,14.5
15.12224,50.77187,13,60.7,4.24,7.9
15.09093,50.48497,18,10.9,5.92,6.2
15.0525,50.12634,13,11.8,5.77,8.5
15.0379,50.25311,17,11.4,7.52,12.3
14.9871,49.76886,26,13,6.82,15.9
15.01371,50.2902,7,9.7,5.01,3
14.93372,49.51893,17,69.3,3.69,12.7
14.90112,49.19601,11,10.8,5.61,7.5
15.01422,50.56042,29,36.5,6.29,22.3
14.95943,50.04034,30,17.1,7.22,21
14.94263,49.8789,8,11.7,4.98,5.9
14.90981,49.55605,12,14.2,5.48,6.9
14.90945,49.82633,13,13.1,5.38,6.9
14.89305,49.66486,15,15.3,6.1,9
14.85169,49.25222,20,16.6,4.99,6.3
14.96166,50.59873,7,7.7,6.09,4.4
14.95776,50.56273,21,18.3,6.19,12.3
14.94466,50.43733,27,17.8,7.21,22.9
