x,y,Clay,SOC,pH,CEC
13.05788,48.72134,32,41.9,7.55,29.3
13.03819,48.39779,20,27.7,5.43,10.8
13.30744,52.79918,3,65.7,3.86,6.3
13.24764,51.99127,3,29.8,3.81,2.5
13.03293,48.75803,18,28.8,7.55,15.7
13.3009,53.10515,5,7.7,6.82,3.1
13.2765,52.78207,3,38.1,3.72,4.1
13.26891,52.65781,4,12.8,7.56,8.6
13.2644,52.62045,2,15.4,4.24,2.8
13.18792,51.56116,11,3.2,4.04,5.5
13.15453,51.07632,13,25.2,7.03,14.6
12.99965,48.65135,24,9,7.94,16.8
12.98955,48.48893,17,12.5,5.78,6.7
13.14434,51.34646,8,14.1,7.24,9.4
13.14065,51.29258,7,12.8,6.38,7.4
13.26565,53.42989,5,8,6.31,2
13.23185,52.98112,7,15.9,4.95,3.9
13.21986,52.81954,5,81.4,6.39,20.6
13.19623,52.49638,3,26.5,5.35,6.2
13.17697,52.22714,2,12.8,4.36,2.1
13.17053,52.13734,2,36.2,4.01,6.1
13.19625,52.96363,7,9.3,7.47,7
12.87768,47.95193,21,17.8,6.32,12.6
13.10343,52.01316,3,3.9,7.58,3
13.13357,52.85778,2,13.5,5.72,27.1
13.06572,51.88823,4,8.5,6.34,4.2
13.05719,51.76254,3,9.1,5.37,2.2
13.03551,51.43929,4,17.6,6.48,5.6
13.0119,51.08011,16,22.6,4.28,6.9
13.00376,50.95438,11,100.5,4.02,12.6
12.87301,48.81626,18,10.5,7.27,11.2
12.84707,48.36678,20,17.3,5.63,9.1
13.1707,53.77414,14,18.1,5.61,12
13.13775,53.73905,9,8.5,6.48,5.9
13.05648,52.60785,21,55.1,7.5,35.8
13.05403,52.57209,2,38.4,4.34,2.8
13.04306,52.41043,4,42.6,4.91,6.4
12.84123,49.21309,17,57.3,6.49,17.5
13.02957,52.64467,2,38.6,3.77,3.2
12.99654,52.15984,2,31.7,3.83,4.4
12.78837,48.7644,19,18.1,7.78,15.3
13.08369,53.83036,5,12.1,7.41,6.7
13.02356,52.98653,7,9.4,6.91,9
13.01236,52.82494,2,15.4,4.21,2.1
13.00992,52.78902,0,251,6.22,111.5
13.00247,52.66476,4,5.9,5.66,4.9
12.97688,52.3042,3,46.2,3.96,4.7
12.97094,52.21443,5,13.8,4.36,1
12.95794,52.01691,5,10.7,5.02,2.2
12.89336,51.01113,23,23.7,6.43,1
12.85803,50.43634,13,29.1,4.59,7.2
12.78942,49.26838,16,15.6,6.35,10.1
12.87271,51.1376,18,22.4,4.98,9.8
12.73992,48.87366,16,15.1,7.63,14.7
12.72155,48.55019,20,16.3,6.23,10.4
12.71345,48.38827,16,16.2,6.4,10.7
13.0412,54.08326,17,18.3,7.7,18.3
12.98382,53.2753,33,188.8,6.88,92.4
12.91365,52.23394,4,36.2,4.79,5.7
12.88695,51.8208,4,9.3,5.46,4.5
12.83198,50.94073,10,136,3.97,16.1
12.7285,49.16188,11,17.4,7.07,7
12.71949,49.0001,16,15.3,5.83,10.5
12.69814,48.62259,29,21.2,7.9,22.9
12.68841,48.42482,15,13,5.71,8
12.67121,48.10117,23,18,5.56,10.4
12.65894,47.86739,22,27.7,5.1,8.3
12.97751,53.61717,14,11.7,7.39,10.7
12.90833,52.5938,6,13,7.54,7.5
12.89009,52.32433,2,36,4.19,4.7
12.82547,51.30066,10,12.8,6.55,9.8
12.80573,50.97735,13,30,4.12,6.7
12.67671,48.71316,23,17.1,7.81,17.6
12.67061,48.60569,24,13.8,7.03,17.6
12.95965,53.79747,27,22.3,7.79,23.7
12.84137,52.01974,3,34.8,4.09,3.1
12.83983,51.98221,8,16.8,6.63,8.7
12.65407,48.75013,30,17.7,7.68,22.7
12.63628,48.46209,32,20.2,6.55,22.3
12.95468,54.15737,9,9.6,6.86,5.6
12.75733,51.12243,15,103.7,4.26,13.9
12.64728,49.18184,13,21,6.27,9.2
12.60272,48.33686,17,12.5,7.34,12.7
12.8656,53.29733,2,6,6.89,3.8
12.8333,52.81134,6,84.2,7.03,36.9
12.82288,52.6497,3,16.9,7.47,11.1
12.7894,52.11085,7,12.3,6.94,9.6
12.55396,47.90589,18,31.5,6.12,18.7
12.82226,53.09933,4,12.4,5.71,3.6
12.8077,52.84797,6,10.2,6.78,6.6
12.80433,52.74083,12,24.6,7.79,19.8
12.7956,52.6863,5,57.1,6.68,25.4
12.79306,52.61477,5,8.2,6.4,5.1
12.78423,52.52612,9,13,6.93,8
12.72145,51.48301,7,14.6,6.79,6.8
12.59436,49.21906,23,24.4,5.59,9.5
12.53975,48.15831,17,12.4,6.6,12.9
12.52369,47.83456,22,103.3,7.2,36
12.71413,51.8429,15,15,5.74,11.6
12.70438,51.68146,2,11.5,4.04,2.4
12.552,48.93203,9,12.4,7.36,7.8
12.81655,53.92672,10,99,7.09,39.3
12.79512,53.60351,3,5.2,5.19,4
12.74773,52.86725,6,22.8,7.16,10.8
12.72758,52.54396,5,76.5,3.89,10.5
12.66713,51.53821,6,91.2,3.9,10.7
12.63701,51.01728,14,23.3,6.5,12.5
12.54884,49.40006,20,15.8,7.2,14.6
12.5238,48.91471,14,45.1,7.38,21.6
12.51106,48.66301,37,148.1,7.23,83.7
12.49134,48.26742,19,17,7.39,16.5
12.48514,48.14154,21,36.1,7.02,22.5
12.46945,47.8178,33,72.8,6.24,27.5
12.6443,51.62881,5,15,4.74,2.6
12.59145,50.71251,22,38.5,5.73,11.8
12.47061,48.39386,21,19.1,6.15,10.8
12.68399,52.79677,6,41.6,6.38,22
12.67446,52.63528,5,21.7,7.55,12.6
12.61665,51.66526,4,39.8,4.24,20.5
12.60944,51.5395,18,15.1,7.01,14.8
12.50392,49.599,17,15.7,7,9.9
12.46297,48.78999,19,13.5,6.94,12.2
12.45324,48.5923,17,15,6.93,13.6
12.44182,48.35854,17,15.2,6.72,15
12.66217,52.92153,5,8.5,4.95,1
12.55253,51.03716,15,12.7,7.17,12.9
12.45091,49.09633,21,29.5,6.18,13.6
12.39376,47.90977,14,30.7,7.54,21.3
12.63636,52.99526,5,20.1,6.4,6.2
12.58882,52.18745,2,44.7,3.68,5.2
12.56806,51.82822,6,14.3,6.75,8.3
12.55012,51.50506,13,12.4,7.05,10.5
12.4989,50.57064,21,30.7,5.56,14.5
12.68973,54.32519,12,15.5,7.03,11.1
12.67902,54.16362,9,9.5,6.54,6.4
12.5523,52.06236,5,33.5,4.11,7.1
12.54316,51.9007,4,37.2,4.09,4.7
12.50726,51.254,9,32.9,4.44,6.8
12.4085,49.34917,10,12.5,6.2,7.4
12.39879,49.15144,8,9.3,5.37,6.5
12.39092,48.98963,22,31.1,8.08,20.6
12.34676,48.05455,17,17.4,5.44,7.8
12.54772,52.49406,2,16.6,4.1,2.5
12.50615,51.75757,4,43,5.79,9.6
12.40584,49.85303,18,62.7,5.34,15.9
12.36101,48.93628,38,54.2,7.26,38.1
12.3282,48.23497,20,20.2,7.29,16.6
12.60247,53.91346,9,21.7,6.81,8.7
12.56336,53.26738,2,6.2,5.89,3.7
12.53496,52.78209,2,12,5.93,1
12.52956,52.69223,3,29.9,4.37,3.2
12.52022,52.53059,1,30.9,3.69,4
12.51113,52.36889,4,30.2,4.33,5.2
12.50199,52.20727,1,17.9,4.14,3.5
12.49305,52.04567,6,18.8,5.31,7.1
12.48702,51.93781,2,26.2,4.09,4.9
12.47119,51.65041,3,44.8,5.24,6.5
12.46054,51.45282,13,9,6.84,10.2
12.42917,50.84253,20,17.1,6.86,12
12.42041,50.67981,22,18.8,7.09,14.4
12.30541,48.32549,18,21.3,7.17,18.1
12.29075,48.00175,28,57.1,6.89,31.4
12.59425,54.2732,12,12.7,7.56,12.9
12.52593,53.14185,3,9.9,6.49,3.4
12.52551,53.64535,11,13.2,6.95,8.5
12.47146,52.71141,7,49.9,5.56,14.3
12.4425,52.19054,5,24,4.28,4.5
12.41828,51.74145,9,21.5,7,13.8
12.39081,51.22047,17,14.2,4.62,6.7
12.32418,49.89071,18,16.5,6.69,11.8
12.31209,49.63913,15,30.7,5.96,10.9
12.30269,49.44134,23,29.8,6.07,14.3
12.27095,48.75816,26,16.5,7.26,2.7
12.2507,48.30858,25,50.4,7.32,33.9
12.23795,48.02085,8,11.1,7.43,9.5
12.24216,48.72276,29,18.9,7.37,18.9
12.19643,47.67958,26,59,6.87,31.8
12.49358,54.13151,4,13.1,6.63,5.6
12.48718,54.02375,10,17.5,6.63,12
12.47302,53.81126,15,13,7.93,10.6
12.46298,53.61067,7,12.9,5.75,6.4
12.44956,53.37718,4,5.9,6.2,4.9
12.44036,53.21555,5,9.9,6.11,3.1
12.38437,52.15487,5,9.5,5.22,5.3
12.25005,49.49642,13,12.6,7.07,13.9
12.23276,49.11888,16,22.1,5.78,10.2
12.20942,48.5974,24,35.1,7.83,32.7
12.18978,48.1478,16,30.2,7.26,30.2
12.18133,47.94994,18,38,7.03,20.7
12.43999,53.737,8,10.5,6.87,8.3
12.43381,53.62924,6,13.8,5.71,5.9
12.40346,53.09041,5,9.6,4.99,2.6
12.3769,52.60545,2,11.6,5.13,2.6
12.35958,52.28214,4,15.3,5,2.9
12.29348,50.98893,24,25.5,7.41,24.2
12.28605,50.8259,25,18.8,7,18.4
12.23904,49.85644,15,32,5.46,7.6
12.21918,49.42504,11,13.9,7.21,12.9
12.19024,48.77777,33,17.4,5.62,21.5
12.16673,48.23817,19,49.5,3.81,10.6
12.15986,48.0764,19,40.4,6.85,19.4
12.36868,53.00122,6,8.4,6.3,3.7
12.3172,52.03123,4,34.7,4.24,3.8
12.31533,51.99528,4,17.8,4.26,3.1
12.29884,51.67189,29,56.3,6.22,25.3
12.20713,49.76712,11,15.2,5.24,10.3
12.19974,49.60534,10,9.1,5.93,5.1
12.17087,48.95811,24,16.6,7.36,18.8
12.14801,48.43721,30,11.9,6.61,16.1
12.13455,48.11287,18,30.5,7.61,17.8
12.12108,47.7891,7,32.2,7.24,13.6
12.40393,54.16924,9,16.3,6.6,10.1
12.35961,53.36103,6,11.4,6.99,5.7
12.32548,52.75031,4,21.7,6.21,5.9
12.15931,49.31825,8,14.4,7.07,7.4
12.36115,53.95431,0,384,4.78,60.6
12.30291,52.93034,6,8.3,6.04,3.2
12.29074,52.66096,1,6.6,6.21,1
12.28019,52.44494,5,9.4,6.43,6.3
12.26168,52.08624,4,39.5,4.17,5
12.22647,51.36667,17,14.6,6.46,13.1
12.22174,51.27778,22,20.5,6.52,16.7
12.18762,50.559,21,24.7,6.69,20.5
12.12718,49.21091,51,48.9,5.6,20.8
12.12245,49.10301,8,9.8,6.17,4.8
12.10634,48.7254,26,19.3,6.96,18.4
12.10182,48.61752,26,14.8,7.77,18.3
12.09278,48.4017,22,15.8,6.8,16.4
