x,y,Clay,SOC,pH,CEC
21.99007,51.23981,10,7.8,5.73,5.6
21.95752,51.11592,2,5.4,4.82,1
21.84296,50.67331,23,17.8,5.13,14.1
22.2543,52.32179,8,9.9,6.57,6.3
21.99446,51.36663,20,12.2,7.57,17.8
21.89241,50.97722,3,6.4,4.39,2.9
22.67841,53.87945,1,1,8.17,2.4
22.58254,53.56167,2,13.1,5,2.7
22.47274,53.19079,0,437,4.89,86.6
22.17142,52.1303,5,9.9,6.72,4.5
22.14711,52.04187,2,6.7,6.2,2.4
21.91489,51.17487,2,10.2,4.96,1
22.66119,53.91725,34,182.8,5.24,63.1
22.4226,53.12319,0,414.9,5.65,153.2
21.89577,51.21326,0,3.2,4.48,2.1
21.85438,51.05386,25,16.2,7.43,18.5
21.78606,50.78825,30,71.8,4.91,22.2
22.54399,53.63852,3,12.8,4.89,1
22.04619,51.88863,4,7,4.64,3.9
22.31267,52.95258,10,9.2,7.58,8.5
22.22228,52.6344,2,9.3,5.59,1
22.1777,52.47526,6,8.9,4.33,3.1
22.00317,51.83849,6,15.9,5.52,4.7
21.9603,51.67922,6,7.6,4.35,1
21.54415,50.04966,9,10.3,6.11,7.1
21.43754,49.6065,32,21.9,5.57,16.2
22.48957,53.66236,5,39.6,5.03,15.1
22.39573,53.34438,11,27.6,6.94,19.3
22.38026,53.29138,9,15.6,6.25,7.3
22.12403,52.38984,7,8.3,5.49,4
21.96974,51.82374,1,12,3.8,3.4
21.95078,51.75296,3,6.8,5.26,4
21.60847,50.4248,6,26.9,4.15,3.8
22.49659,53.78909,14,70,6.95,13.6
22.39193,53.43581,0,320.5,5.95,133.7
22.26399,52.99398,12,11.5,6.18,5.5
22.11952,52.48125,2,6.4,4.03,3.6
22.07551,52.32208,7,10.3,6.28,4.3
21.88923,51.632,5,6.7,4.81,3.3
21.77801,51.2071,4,7.6,6.41,6.5
21.39118,49.64755,30,19.2,6.76,18.6
22.38291,53.50952,5,12.9,4.26,1
22.11006,52.55497,3,5,6.17,1
21.68618,50.96203,3,7.6,4.5,3.5
21.64575,50.80259,18,15.3,6.36,13.9
22.32218,53.40656,9,14.3,5.76,9.6
22.26587,53.21214,5,10.1,5.87,3.1
22.23037,53.08841,4,9.4,5.49,1
22.17505,52.89394,4,8.2,4.76,12.1
22.16506,52.85858,8,12.1,5.33,3.3
22.08641,52.57512,9,17.6,5.03,2
21.98852,52.2219,3,11.1,3.99,2.1
21.9026,51.90332,6,20.5,6.4,5
21.77643,51.42536,6,12.4,6.05,2.5
21.74427,51.30141,2,10.5,5.27,6.8
21.73509,51.26599,2,8.3,6.35,6.2
21.46414,50.18506,10,15.3,6.19,8.4
21.65684,51.07404,1,13.7,5.81,7.2
21.2797,49.53169,4,11.4,6.33,3.6
22.34543,53.69538,19,13.4,7.25,10.1
22.33502,53.66003,6,11.3,7.72,9.2
22.07171,52.74077,6,7,7.71,8.5
21.99827,52.47543,6,8.3,4.54,4.7
21.9303,52.22774,3,5.4,5.25,1
21.8687,51.99766,4,10,5.72,3.5
21.70122,51.36029,4,8.2,5.76,2.9
21.64665,51.14774,3,10.7,5.49,8.2
21.52612,50.66933,19,11.2,5.5,7.5
21.49977,50.56299,8,7.5,5.67,4.9
21.47789,50.47436,33,30.9,7.01,24.3
21.46049,50.40347,18,22.7,5.87,19.8
22.31034,53.68075,2,20.7,4.43,3.4
22.24843,53.46868,2,5.8,5.59,2.9
21.8212,51.92978,7,8.5,6.92,6.6
21.36379,50.12256,15,18.5,4.91,7.8
21.21256,49.48394,3,34.3,5.09,6.7
22.42751,54.17851,11,9.3,6.26,4.9
22.28563,53.70147,13,9.7,6.71,5.6
22.23921,53.54239,5,11.1,4.76,3.1
22.18302,53.34795,5,19.9,5.46,3.5
22.0034,52.71129,6,37.8,5.36,9.6
21.8396,52.10972,8,23.2,4.97,8.1
21.63077,51.31288,4,13.5,5.46,5.9
21.6217,51.27746,3,14.4,5.06,4.5
21.50108,50.7989,16,13.7,7.04,12.3
21.46146,50.6395,5,9.2,6.18,2.6
22.09289,53.13877,5,12.9,5.76,2.7
22.03811,52.94424,4,14.3,4.56,2.1
21.78706,52.02409,38,111.6,7.57,44.2
21.77769,51.98891,14,14.9,6.31,11.1
22.39338,54.27281,5,11.9,4.6,3.8
22.29856,53.95495,2,14,5.16,15.3
22.03844,53.05331,4,12.4,5.24,1
21.90601,52.57567,2,22,4.8,3.2
21.7208,51.88535,2,14.7,4.17,1
21.63771,51.56656,14,14.4,5.97,11.2
21.51572,51.0882,3,9.8,6.17,3.7
21.33197,50.34365,16,14.3,5.71,7.7
21.205,49.81155,10,13.9,5.56,4.1
22.34167,54.20694,9,28.3,6.41,13
22.32097,54.1347,14,50.6,6.91,24.3
22.10915,53.40999,0,330.3,4.07,21.4
22.06382,53.25084,12,42.2,6.04,11.6
21.90105,52.66707,3,8.9,5.46,2.1
21.82402,52.38391,16,19.3,6.57,17.1
21.80019,52.29543,8,9,5.37,5.2
21.75761,52.13608,6,19.9,4.35,5.6
21.72942,52.02987,2,9.3,4.26,1
21.64583,51.71112,4,7,5.18,3.9
21.37305,50.63019,4,5.4,6.12,3.2
21.27434,50.2224,16,13,6.88,10.9
21.17333,49.79653,16,12.3,6.54,9.1
21.1443,49.6723,12,24.6,4.63,9
21.12369,49.58357,28,27.6,5.18,10.7
22.30127,54.17309,14,32.1,7.36,20.2
21.93516,52.90003,4,15.9,4.95,4.8
21.76178,52.26294,6,8.6,5.09,3.4
21.31486,50.50883,3,9.7,5.14,2.5
22.17206,53.8403,7,7.9,7.85,19.6
21.98965,53.2037,11,32.3,7.14,21.9
21.96483,53.11528,7,12.8,4.5,4.9
21.92048,52.95604,8,9.4,6.44,6
21.78976,52.47824,22,37.9,6.24,23
21.68578,52.08876,9,7.7,6.54,4.1
21.60236,51.76997,5,31.2,4.32,8.8
21.49781,51.3625,4,14.7,4.18,2.8
21.43975,51.13212,11,11.9,6.08,6.6
21.32142,50.65347,17,13.9,7.1,14.2
21.28263,50.49385,19,10.5,5.17,8.7
21.99495,53.33051,7,48.7,7.41,21.8
21.77495,52.53423,5,22,4.28,8.3
21.64761,52.05621,7,160.1,3.78,22.6
22.23156,54.25289,11,7.3,7.13,5.2
22.03053,53.56339,6,7.2,5.8,1
22.00034,53.45725,3,13.1,4.98,1
21.7363,52.50173,17,27.4,6.05,21.9
21.6701,52.25386,9,59.7,5.97,18
21.58635,51.93508,7,36.8,4.46,8.6
21.48594,51.54533,3,14.8,4.55,2.6
21.423114,51.297234,3,3.9,4.68,2.2
